age,education,marital-status,occupation,relationship,capital-gain,capital-loss,hours-per-week,income
34,1,0,1,1,0,0,50,0
28,1,0,1,1,0,0,40,0
39,0,1,0,1,0,0,40,0
32,0,3,0,3,0,0,40,0
57,0,1,2,1,0,0,40,0
24,3,0,3,1,0,0,40,0
52,0,1,3,2,0,0,38,0
32,0,3,1,4,0,0,40,0
70,0,3,0,3,3471,0,33,0
30,1,1,3,2,0,0,40,0
27,0,0,4,0,0,0,40,0
51,5,3,0,3,0,0,52,0
46,0,3,0,3,0,0,45,0
41,2,3,0,3,0,0,40,0
43,3,3,3,3,0,0,40,0
36,3,1,3,2,0,0,52,0
54,0,3,1,3,0,0,40,0
22,1,0,0,0,0,0,40,0
47,2,3,2,3,0,0,40,0
36,1,1,3,2,0,0,40,0
39,0,1,0,1,0,0,40,0
40,0,3,1,3,0,0,50,0
46,0,3,4,3,0,1672,50,0
28,0,1,3,1,0,0,39,0
47,2,3,0,3,0,0,40,0
43,2,1,2,2,0,2238,40,0
37,0,0,0,1,0,0,40,0
40,0,3,3,3,0,0,50,0
49,1,1,1,0,0,0,40,0
21,0,0,0,0,0,0,40,0
45,0,2,0,1,0,0,40,0
27,1,1,0,1,0,0,45,0
62,0,3,1,4,0,0,40,0
24,2,0,0,0,0,0,40,0
22,0,3,0,3,0,0,43,0
30,0,3,1,4,0,0,40,0
26,1,0,1,1,0,0,40,0
43,0,3,0,3,0,0,40,0
51,0,3,1,3,0,0,40,0
42,1,3,0,3,0,0,40,0
23,1,0,2,0,0,0,44,0
27,5,3,0,3,0,0,45,0
23,0,0,3,1,0,0,40,0
53,4,3,0,3,0,0,45,0
24,0,0,1,0,0,0,35,0
41,1,1,1,2,0,0,40,0
33,4,0,0,0,0,0,40,0
29,3,0,1,1,0,0,40,0
47,1,1,1,1,0,0,36,0
34,1,0,3,1,2174,0,50,0
30,0,0,0,0,0,0,40,0
43,3,3,3,3,0,0,50,0
47,0,0,1,1,0,0,33,0
22,4,3,0,3,0,0,40,0
28,0,0,2,5,0,0,48,0
26,1,0,1,1,0,1974,40,0
38,1,3,3,3,0,0,44,0
24,0,1,2,1,0,0,40,0
55,0,1,2,1,0,0,40,0
21,1,0,0,0,0,0,40,0
29,0,0,1,2,0,0,40,0
63,5,3,1,3,0,0,45,0
22,1,0,1,1,0,0,40,0
36,4,0,0,0,0,0,40,0
38,0,3,4,3,0,0,43,0
28,3,0,3,1,0,0,40,0
31,0,0,1,1,0,0,40,0
55,2,1,1,1,0,0,40,0
44,0,3,0,3,0,0,45,0
35,1,1,1,1,0,1741,50,0
61,4,1,2,2,0,0,36,0
25,1,0,0,5,0,0,40,0
35,0,3,0,3,0,0,40,0
28,0,3,0,3,0,0,40,0
39,4,3,0,3,0,0,40,0
20,0,0,0,1,0,0,40,0
57,5,3,1,3,0,0,50,0
27,0,1,2,2,0,0,50,0
28,3,0,3,1,0,0,40,0
26,3,1,1,2,0,0,40,0
36,0,1,4,1,0,0,40,0
57,1,1,1,1,0,0,40,0
47,0,3,0,3,0,0,40,0
24,0,0,1,1,0,0,40,0
23,3,1,1,1,0,0,43,0
54,0,2,3,1,0,0,43,0
59,4,0,0,1,0,0,40,0
22,0,1,2,2,0,0,35,0
29,0,3,1,3,0,0,40,0
40,1,1,0,2,0,0,40,0
33,0,1,1,0,0,0,40,0
37,1,4,0,2,0,0,40,0
27,6,0,1,0,0,0,45,0
43,1,3,2,3,0,0,40,0
24,0,0,2,0,0,0,40,0
19,1,0,1,1,0,0,40,0
38,1,1,1,2,0,0,40,0
45,5,3,0,3,0,0,40,0
28,0,3,0,3,0,0,40,0
56,3,3,3,3,0,0,50,0
38,0,0,1,1,0,0,50,0
62,0,1,2,1,0,0,35,0
40,3,0,1,1,0,0,40,0
61,5,3,0,3,0,0,40,0
22,1,0,1,0,0,0,40,0
36,1,3,1,3,0,0,45,0
35,4,0,1,1,0,0,40,0
35,0,0,0,1,0,0,40,0
37,0,1,0,2,0,0,40,0
27,0,3,0,3,0,0,48,0
60,0,3,2,3,0,0,40,0
35,0,3,0,3,5013,0,40,0
59,4,3,3,4,0,0,36,0
36,2,1,3,2,0,0,40,0
24,5,0,4,5,0,0,50,0
32,0,0,3,2,0,1380,40,0
18,4,0,0,0,0,0,40,0
52,0,1,0,0,0,0,40,0
52,0,1,0,1,0,0,40,0
19,0,0,1,1,0,0,40,0
41,1,0,2,0,0,0,50,0
47,3,0,3,1,0,0,50,0
29,1,0,0,1,0,0,40,0
39,0,1,1,2,0,625,35,0
55,3,3,2,5,0,0,35,0
26,0,0,0,1,0,0,40,0
54,3,3,1,3,0,0,40,0
53,4,3,0,3,0,0,50,0
23,0,0,0,1,0,0,40,0
38,2,0,0,1,0,0,40,0
36,0,0,2,2,0,0,40,0
35,5,2,2,1,0,0,40,0
42,0,3,0,3,0,0,40,0
45,1,1,2,1,0,0,40,0
33,1,0,1,1,0,0,40,0
24,0,0,0,1,0,0,50,0
50,1,3,1,4,0,0,39,0
27,1,3,1,0,0,0,40,0
26,6,0,3,1,0,0,50,0
29,4,1,0,2,0,0,52,0
57,0,1,0,1,0,1980,44,0
19,0,0,0,0,0,0,40,0
45,1,1,0,1,0,0,40,0
20,0,0,1,0,0,0,40,0
53,3,3,0,3,0,1740,40,0
33,3,0,3,1,0,0,45,0
34,2,0,1,2,0,0,50,0
22,1,0,0,0,0,0,35,0
40,3,0,3,2,0,0,45,0
19,0,0,1,1,0,0,45,0
44,1,1,0,1,0,0,40,0
21,0,0,2,1,0,0,40,0
25,3,0,3,1,0,0,35,0
28,0,1,2,5,0,0,40,0
36,4,3,0,3,0,0,50,0
40,1,1,1,2,0,213,40,0
21,1,0,1,0,0,0,40,0
41,0,1,0,1,0,0,40,0
43,4,3,2,3,0,0,40,0
42,0,0,2,5,0,0,40,0
35,4,0,2,0,0,0,40,0
42,3,0,3,1,0,0,40,0
55,0,3,0,3,0,0,35,0
23,3,0,3,1,0,0,45,0
61,2,4,0,2,0,0,40,0
33,0,1,1,2,0,0,40,0
34,2,1,3,1,0,0,45,0
36,0,3,0,3,0,0,40,0
39,0,0,2,0,0,0,38,0
27,0,0,0,5,0,0,40,0
45,0,2,4,5,0,0,40,0
27,0,0,2,1,0,0,48,0
31,2,3,3,4,0,0,43,0
53,1,1,0,1,0,0,40,0
22,0,0,0,1,0,0,40,0
55,1,1,1,1,0,0,40,0
63,0,1,2,1,0,0,40,0
46,0,0,3,1,0,0,40,0
35,0,3,0,3,0,0,40,0
42,1,3,3,3,0,0,40,0
23,3,0,1,0,0,0,40,0
35,0,3,2,3,0,0,40,0
40,0,0,1,0,0,0,50,0
18,1,0,1,1,0,0,40,0
47,3,3,0,3,0,0,40,0
38,4,3,0,3,0,0,45,0
29,2,1,1,2,0,0,40,0
26,3,0,3,1,0,0,40,0
38,4,3,0,3,0,0,45,0
51,1,3,1,3,0,0,40,0
19,0,0,1,0,0,0,40,0
46,4,4,2,1,0,0,40,0
42,0,3,1,3,4064,0,40,0
26,3,0,3,1,0,0,40,0
40,1,1,0,1,0,0,40,0
38,3,3,0,3,4508,0,40,0
26,0,0,1,0,0,0,40,0
20,0,0,0,0,0,0,40,0
35,3,1,3,2,5721,0,40,0
39,0,0,2,0,4650,0,48,0
43,6,4,3,2,0,0,40,0
27,0,3,0,0,0,0,40,0
44,1,3,1,4,0,0,35,0
40,0,3,0,3,2829,0,50,0
25,2,0,1,1,4865,0,40,0
34,0,1,2,2,0,0,40,0
25,3,0,1,1,0,0,45,0
18,0,0,1,1,0,0,40,0
22,3,0,3,1,0,0,40,0
26,0,3,0,3,0,0,40,0
52,1,3,1,3,0,0,50,0
42,0,3,0,3,0,0,50,0
34,2,0,3,2,0,0,40,0
50,0,1,3,2,0,0,40,0
19,1,1,2,0,0,0,40,0
54,1,3,1,3,0,0,35,0
28,4,0,0,2,0,0,40,0
21,1,0,0,0,0,0,40,0
64,0,3,0,3,10566,0,40,0
30,2,0,0,1,0,0,40,0
32,0,3,0,3,0,0,50,0
42,0,1,4,1,0,0,40,0
60,0,3,0,3,0,0,40,0
23,1,0,1,0,0,0,40,0
26,1,3,0,3,0,0,40,0
48,1,1,2,2,0,0,35,0
23,3,0,3,1,0,0,40,0
31,3,0,3,0,0,0,40,0
24,4,0,0,2,0,0,40,0
24,1,3,1,3,0,0,40,0
25,0,0,1,0,0,0,40,0
39,2,0,1,1,0,0,40,0
20,0,3,2,5,0,0,40,0
51,0,3,2,5,0,0,40,0
58,1,3,0,3,0,0,40,0
32,3,3,3,3,0,0,45,0
21,0,0,1,0,0,0,43,0
55,0,4,1,1,0,0,40,0
43,1,3,1,3,0,0,50,0
26,3,1,1,1,0,0,40,0
41,0,3,0,3,0,0,40,0
45,1,1,1,2,0,0,45,0
29,0,0,3,1,0,0,50,0
19,0,0,2,1,0,0,40,0
27,1,1,1,2,0,0,36,0
22,0,0,0,0,0,0,40,0
29,3,0,1,1,0,0,35,0
33,6,0,3,1,0,0,50,0
26,6,0,3,1,0,0,40,0
21,4,0,0,0,0,0,40,0
41,1,1,3,1,0,0,40,0
22,0,0,3,2,0,0,40,0
40,2,1,1,2,0,0,50,0
35,0,3,0,3,0,0,50,0
45,1,3,0,3,0,0,40,0
23,4,0,0,1,0,0,40,0
57,3,3,3,3,0,0,35,0
42,1,0,3,1,0,0,40,0
34,3,1,0,2,0,0,40,0
28,4,3,0,3,0,0,40,0
34,0,0,0,0,0,0,40,0
57,3,0,1,1,0,2258,40,0
24,3,0,1,1,0,0,50,0
55,0,1,0,1,0,0,40,0
30,2,3,0,3,0,0,40,0
19,1,0,0,0,0,0,40,0
32,3,3,3,3,0,0,45,0
30,3,0,1,1,0,0,40,0
22,1,3,3,4,0,0,40,0
30,2,0,0,1,0,0,45,0
57,4,0,0,1,0,1617,35,0
24,1,3,0,3,0,0,40,0
44,3,0,1,0,0,0,37,0
25,4,0,0,0,0,0,40,0
56,1,0,1,1,0,0,38,0
51,4,3,0,3,0,0,45,0
30,0,0,0,0,0,0,38,0
27,0,0,1,1,2202,0,40,0
26,2,0,1,1,0,0,40,0
64,4,3,1,3,0,0,40,0
31,4,1,4,1,0,0,50,0
47,4,0,1,5,0,0,40,0
22,0,0,1,1,0,0,35,0
44,6,1,3,2,0,0,40,0
64,0,3,0,3,0,0,40,0
49,6,3,3,3,0,0,40,0
23,1,0,0,1,0,0,40,0
23,4,0,0,1,0,0,40,0
37,1,1,1,1,0,0,40,0
49,2,1,1,1,2597,0,40,0
45,3,0,1,1,0,0,45,0
27,0,3,0,3,0,0,40,0
26,3,3,2,3,0,0,43,0
36,6,0,3,1,0,0,45,0
23,3,0,1,1,0,0,40,0
39,4,3,0,3,0,0,40,0
42,3,1,1,2,0,0,45,0
45,3,1,3,1,0,0,45,0
66,6,3,1,3,0,0,50,0
46,1,3,1,3,0,0,50,0
23,3,0,0,0,0,0,40,0
41,0,3,0,3,0,0,40,0
29,0,3,2,3,0,0,42,0
44,3,3,4,3,0,0,50,0
49,0,1,3,2,0,0,40,0
33,0,3,1,3,0,0,40,0
21,4,0,4,1,0,0,40,0
49,3,3,3,3,0,0,40,0
40,0,2,3,1,0,0,40,0
50,4,1,2,2,0,0,40,0
63,4,3,0,3,0,0,40,0
34,1,0,1,0,0,0,40,0
25,0,3,1,3,0,0,40,0
61,1,1,0,1,0,0,40,0
21,4,3,0,3,0,0,40,0
61,1,3,1,3,0,0,40,0
41,6,0,3,1,0,0,40,0
33,4,0,1,0,0,0,35,0
27,5,3,2,4,0,0,40,0
44,5,1,2,2,0,0,38,0
33,1,3,1,4,4064,0,40,0
23,3,0,1,0,0,0,38,0
33,6,0,3,2,0,0,40,0
26,3,0,1,1,0,0,40,0
20,0,0,2,1,0,0,45,0
23,0,0,0,0,0,0,40,0
24,2,0,0,0,0,0,40,0
34,2,2,1,2,0,974,40,0
43,6,2,3,1,0,0,50,0
30,3,0,1,1,0,0,40,0
29,2,1,1,1,2174,0,45,0
45,6,1,1,2,0,0,36,0
22,1,0,4,0,0,0,50,0
30,4,0,1,0,0,0,40,0
50,3,4,3,2,0,0,40,0
36,3,0,1,1,0,1741,40,0
20,4,0,0,0,0,0,40,0
48,1,3,3,3,0,0,40,0
35,1,0,1,0,0,0,40,0
24,5,0,0,5,0,0,40,0
45,0,3,0,3,0,0,42,0
26,2,1,0,1,0,0,40,0
31,3,0,1,1,0,0,40,0
40,0,3,0,3,0,0,40,0
41,0,1,0,1,0,0,40,0
36,0,3,4,3,0,0,45,0
21,0,0,1,0,0,0,40,0
60,4,4,1,2,0,0,40,0
34,2,1,3,1,0,0,45,0
49,0,3,1,3,0,0,40,0
25,1,0,2,0,0,0,40,0
23,6,0,3,0,0,0,36,0
50,5,3,1,3,0,0,49,0
54,4,3,2,3,0,0,45,0
23,0,0,0,1,0,0,40,0
23,3,0,3,0,0,0,40,0
36,0,1,3,2,0,0,40,0
44,1,2,0,2,1506,0,45,0
36,3,0,3,1,0,0,40,0
22,1,0,2,0,0,0,40,0
49,1,1,2,2,0,0,43,0
27,0,3,1,4,0,0,50,0
37,0,0,1,1,0,2339,40,0
39,6,3,3,3,0,0,45,0
32,2,3,1,3,3411,0,40,0
23,0,0,0,0,0,0,40,0
50,3,0,3,1,0,0,40,0
27,1,0,2,1,0,0,40,0
37,0,0,1,2,0,0,40,0
23,1,0,1,0,0,0,40,0
40,1,0,0,1,0,0,35,0
20,0,0,1,1,0,0,35,0
30,4,0,0,1,0,0,40,0
42,6,0,3,1,0,0,50,0
27,5,0,2,0,0,0,35,0
23,4,0,0,1,0,0,40,0
27,4,3,0,3,0,0,40,0
60,0,3,3,3,5013,0,40,0
19,0,0,0,1,0,0,40,0
18,1,0,1,1,0,0,40,0
58,3,1,1,1,0,0,40,0
44,1,0,0,1,0,0,38,0
50,1,4,3,2,0,0,40,0
20,4,0,0,0,0,0,40,0
40,0,1,2,1,0,0,40,0
37,1,1,2,0,0,0,40,0
35,0,0,0,2,0,0,48,0
22,4,0,0,0,0,0,40,0
83,1,0,3,1,0,0,40,0
39,0,0,3,2,0,0,45,0
31,6,0,3,1,0,0,46,0
34,4,2,0,2,0,0,35,0
31,2,3,0,3,0,1579,45,0
48,0,1,1,1,0,0,40,0
28,0,3,0,4,0,0,35,0
25,0,0,1,0,0,0,40,0
37,1,1,2,2,0,0,40,0
21,0,1,2,1,0,0,40,0
47,0,3,0,3,0,0,40,0
37,3,3,3,3,0,0,40,0
23,0,3,0,3,0,0,40,0
18,4,0,3,0,0,0,40,0
27,5,3,0,3,0,0,40,0
48,1,1,1,1,0,0,40,0
19,0,0,1,0,0,0,40,0
22,0,3,0,3,0,0,40,0
46,0,1,1,1,0,0,40,0
53,1,1,1,2,4865,0,45,0
40,6,4,1,0,0,0,50,0
27,3,0,1,1,0,0,40,0
19,0,0,0,0,0,0,52,0
27,1,0,1,1,0,0,40,0
32,3,0,2,2,0,0,40,0
35,1,0,3,1,0,0,50,0
30,1,0,3,1,0,0,45,0
29,0,0,1,2,0,0,42,0
27,1,1,2,1,0,0,40,0
24,3,0,1,0,0,0,40,0
46,1,3,3,3,0,0,50,0
19,0,0,0,0,0,0,40,0
34,0,3,3,3,0,0,51,0
35,0,3,0,3,0,0,50,0
