,Nitrogen,Phosphorus,Kalium,Temperature,Crop,Crop(ID),Soil_Type,Soil_Type(ID)
39,6.0,13.0,12.0,25.28,Barley,Jelai,Clayey,Lempung
40,28.0,14.0,0.0,26.95,Barley,Jelai,Sandy,Berpasir
41,19.0,40.0,0.0,28.88,Barley,Jelai,Clayey,Lempung
42,44.0,2.0,0.0,25.65,Barley,Jelai,Sandy,Berpasir
43,10.0,14.0,0.0,30.18,Barley,Jelai,Red,Merah
44,4.0,29.0,4.0,34.72,Barley,Jelai,Loamy,Lempung Berpasir
45,39.0,1.0,1.0,30.53,Barley,Jelai,Sandy,Berpasir
46,10.0,19.0,17.0,21.74,Barley,Jelai,Sandy,Berpasir
47,13.0,40.0,0.0,34.07,Barley,Jelai,Red,Merah
48,10.0,33.0,0.0,31.49,Barley,Jelai,Black,Hitam
49,3.0,29.0,3.0,31.13,Barley,Jelai,Loamy,Lempung Berpasir
50,10.0,45.0,0.0,33.59,Barley,Jelai,Loamy,Lempung Berpasir
51,14.0,9.0,0.0,30.34,Barley,Jelai,Sandy,Berpasir
52,44.0,4.0,0.0,29.61,Barley,Jelai,Clayey,Lempung
53,12.0,41.0,1.0,39.34,Barley,Jelai,Sandy,Berpasir
54,10.0,9.0,0.0,26.51,Barley,Jelai,Loamy,Lempung Berpasir
55,10.0,35.0,0.0,32.12,Barley,Jelai,Red,Merah
56,31.0,1.0,1.0,26.71,Barley,Jelai,Sandy,Berpasir
57,35.0,0.0,2.0,27.68,Barley,Jelai,Black,Hitam
58,19.0,41.0,2.0,31.18,Barley,Jelai,Black,Hitam
59,8.0,13.0,20.0,26.88,Barley,Jelai,Black,Hitam
60,24.0,20.0,0.0,22.15,Barley,Jelai,Clayey,Lempung
61,36.0,3.0,4.0,37.83,Barley,Jelai,Red,Merah
62,25.0,28.0,0.0,34.41,Barley,Jelai,Loamy,Lempung Berpasir
63,11.0,12.0,1.0,23.84,Barley,Jelai,Black,Hitam
64,18.0,20.0,4.0,36.02,Barley,Jelai,Loamy,Lempung Berpasir
65,13.0,40.0,0.0,30.9,Barley,Jelai,Black,Hitam
66,8.0,6.0,0.0,32.73,Barley,Jelai,Loamy,Lempung Berpasir
67,13.0,11.0,1.0,26.88,Barley,Jelai,Black,Hitam
68,4.0,24.0,13.0,25.07,Barley,Jelai,Clayey,Lempung
69,35.0,0.0,3.0,32.2,Barley,Jelai,Loamy,Lempung Berpasir
70,16.0,45.0,0.0,22.59,Barley,Jelai,Red,Merah
71,12.0,15.0,0.0,26.66,Barley,Jelai,Sandy,Berpasir
72,6.0,13.0,0.0,30.02,Barley,Jelai,Loamy,Lempung Berpasir
73,14.0,36.0,0.0,31.8,Barley,Jelai,Black,Hitam
74,17.0,23.0,0.0,33.1,Barley,Jelai,Clayey,Lempung
75,7.0,25.0,12.0,32.22,Barley,Jelai,Black,Hitam
76,14.0,42.0,0.0,25.6,Barley,Jelai,Loamy,Lempung Berpasir
77,21.0,16.0,2.0,25.51,Barley,Jelai,Black,Hitam
78,4.0,20.0,14.0,24.3,Barley,Jelai,Clayey,Lempung
79,30.0,0.0,0.0,27.41,Barley,Jelai,Loamy,Lempung Berpasir
80,8.0,14.0,0.0,26.52,Barley,Jelai,Loamy,Lempung Berpasir
81,26.0,22.0,1.0,36.61,Barley,Jelai,Sandy,Berpasir
82,10.0,14.0,13.0,33.28,Barley,Jelai,Black,Hitam
83,2.0,13.0,23.0,28.82,Barley,Jelai,Clayey,Lempung
84,17.0,43.0,2.0,24.12,Barley,Jelai,Loamy,Lempung Berpasir
85,5.0,26.0,5.0,24.32,Barley,Jelai,Sandy,Berpasir
86,3.0,16.0,18.0,26.56,Barley,Jelai,Loamy,Lempung Berpasir
87,7.0,31.0,0.0,38.03,Barley,Jelai,Red,Merah
88,11.0,30.0,12.0,27.72,Barley,Jelai,Loamy,Lempung Berpasir
89,43.0,0.0,4.0,32.64,Barley,Jelai,Clayey,Lempung
90,3.0,18.0,22.0,32.63,Barley,Jelai,Loamy,Lempung Berpasir
91,8.0,11.0,1.0,26.82,Barley,Jelai,Red,Merah
92,14.0,37.0,0.0,27.51,Barley,Jelai,Black,Hitam
93,0.0,30.0,8.0,29.43,Barley,Jelai,Black,Hitam
94,34.0,3.0,0.0,28.56,Barley,Jelai,Red,Merah
95,10.0,37.0,0.0,27.78,Barley,Jelai,Black,Hitam
96,15.0,20.0,16.0,32.9,Barley,Jelai,Black,Hitam
97,14.0,13.0,15.0,29.61,Barley,Jelai,Red,Merah
98,8.0,20.0,17.0,32.12,Barley,Jelai,Red,Merah
99,23.0,20.0,1.0,29.17,Barley,Jelai,Sandy,Berpasir
100,27.0,28.0,1.0,30.25,Barley,Jelai,Sandy,Berpasir
101,8.0,16.0,14.0,26.29,Barley,Jelai,Red,Merah
102,10.0,38.0,0.0,25.7,Barley,Jelai,Loamy,Lempung Berpasir
103,23.0,25.0,0.0,29.55,Barley,Jelai,Sandy,Berpasir
104,10.0,22.0,11.0,26.33,Barley,Jelai,Red,Merah
105,11.0,16.0,16.0,20.55,Barley,Jelai,Black,Hitam
106,9.0,11.0,0.0,29.8,Barley,Jelai,Red,Merah
107,33.0,0.0,0.0,30.83,Barley,Jelai,Loamy,Lempung Berpasir
108,40.0,2.0,1.0,25.86,Barley,Jelai,Red,Merah
109,14.0,11.0,12.0,34.51,Barley,Jelai,Loamy,Lempung Berpasir
110,42.0,0.0,0.0,28.81,Barley,Jelai,Black,Hitam
111,5.0,9.0,0.0,29.84,Barley,Jelai,Sandy,Berpasir
112,13.0,32.0,9.0,23.54,Barley,Jelai,Red,Merah
113,3.0,33.0,6.0,25.36,Barley,Jelai,Clayey,Lempung
114,15.0,36.0,3.0,32.04,Barley,Jelai,Black,Hitam
115,18.0,36.0,1.0,28.09,Barley,Jelai,Sandy,Berpasir
116,14.0,43.0,3.0,28.96,Barley,Jelai,Sandy,Berpasir
117,27.0,20.0,0.0,26.17,Barley,Jelai,Black,Hitam
118,42.0,0.0,0.0,36.7,Barley,Jelai,Red,Merah
119,12.0,34.0,0.0,36.87,Barley,Jelai,Sandy,Berpasir
120,12.0,14.0,0.0,30.79,Barley,Jelai,Black,Hitam
121,13.0,36.0,1.0,34.83,Barley,Jelai,Clayey,Lempung
122,19.0,44.0,0.0,40.0,Barley,Jelai,Loamy,Lempung Berpasir
123,40.0,0.0,0.0,30.03,Barley,Jelai,Sandy,Berpasir
124,22.0,20.0,0.0,36.31,Barley,Jelai,Sandy,Berpasir
125,40.0,0.0,4.0,38.64,Barley,Jelai,Sandy,Berpasir
126,11.0,25.0,8.0,27.26,Barley,Jelai,Black,Hitam
127,2.0,32.0,8.0,32.29,Barley,Jelai,Clayey,Lempung
128,35.0,0.0,1.0,37.6,Barley,Jelai,Red,Merah
129,17.0,22.0,0.0,31.7,Barley,Jelai,Loamy,Lempung Berpasir
130,6.0,31.0,7.0,33.54,Barley,Jelai,Clayey,Lempung
131,36.0,1.0,0.0,35.75,Barley,Jelai,Loamy,Lempung Berpasir
132,10.0,41.0,0.0,32.94,Barley,Jelai,Sandy,Berpasir
133,15.0,38.0,0.0,33.02,Barley,Jelai,Black,Hitam
134,38.0,0.0,0.0,22.61,Barley,Jelai,Sandy,Berpasir
135,36.0,0.0,0.0,25.38,Barley,Jelai,Black,Hitam
136,7.0,11.0,0.0,28.35,Barley,Jelai,Loamy,Lempung Berpasir
137,10.0,32.0,7.0,26.38,Barley,Jelai,Sandy,Berpasir
138,10.0,13.0,3.0,33.41,Barley,Jelai,Red,Merah
139,10.0,41.0,0.0,24.45,Barley,Jelai,Black,Hitam
140,15.0,36.0,0.0,24.59,Barley,Jelai,Clayey,Lempung
141,26.0,15.0,0.0,31.33,Barley,Jelai,Sandy,Berpasir
142,16.0,42.0,1.0,38.04,Barley,Jelai,Loamy,Lempung Berpasir
143,6.0,18.0,19.0,30.39,Barley,Jelai,Black,Hitam
144,12.0,39.0,0.0,24.04,Barley,Jelai,Black,Hitam
145,21.0,16.0,1.0,23.6,Barley,Jelai,Sandy,Berpasir
146,7.0,34.0,8.0,28.75,Barley,Jelai,Black,Hitam
147,13.0,18.0,19.0,33.94,Barley,Jelai,Black,Hitam
148,25.0,23.0,2.0,33.14,Barley,Jelai,Red,Merah
149,18.0,40.0,0.0,39.87,Barley,Jelai,Clayey,Lempung
150,14.0,15.0,9.0,22.54,Barley,Jelai,Clayey,Lempung
151,14.0,34.0,2.0,25.85,Barley,Jelai,Red,Merah
152,8.0,11.0,0.0,32.11,Barley,Jelai,Clayey,Lempung
153,13.0,10.0,0.0,24.24,Barley,Jelai,Clayey,Lempung
154,10.0,39.0,2.0,31.46,Barley,Jelai,Black,Hitam
155,9.0,19.0,17.0,33.28,Barley,Jelai,Clayey,Lempung
156,12.0,27.0,4.0,39.75,Barley,Jelai,Black,Hitam
157,26.0,16.0,0.0,30.44,Barley,Jelai,Clayey,Lempung
158,12.0,40.0,0.0,24.26,Barley,Jelai,Loamy,Lempung Berpasir
159,28.0,19.0,0.0,30.12,Barley,Jelai,Sandy,Berpasir
160,13.0,38.0,4.0,25.78,Barley,Jelai,Loamy,Lempung Berpasir
161,11.0,12.0,4.0,24.68,Barley,Jelai,Loamy,Lempung Berpasir
162,12.0,13.0,0.0,29.04,Barley,Jelai,Black,Hitam
163,18.0,36.0,4.0,40.0,Barley,Jelai,Black,Hitam
164,6.0,37.0,3.0,27.62,Barley,Jelai,Red,Merah
165,12.0,36.0,0.0,29.25,Barley,Jelai,Clayey,Lempung
166,33.0,0.0,0.0,32.8,Barley,Jelai,Clayey,Lempung
167,19.0,28.0,3.0,22.97,Barley,Jelai,Clayey,Lempung
168,35.0,0.0,0.0,32.11,Barley,Jelai,Sandy,Berpasir
169,39.0,3.0,0.0,36.82,Barley,Jelai,Red,Merah
170,38.0,0.0,0.0,29.14,Barley,Jelai,Clayey,Lempung
171,11.0,14.0,16.0,28.87,Barley,Jelai,Black,Hitam
172,10.0,24.0,11.0,40.0,Barley,Jelai,Loamy,Lempung Berpasir
173,30.0,0.0,1.0,23.64,Barley,Jelai,Clayey,Lempung
174,22.0,22.0,0.0,36.03,Barley,Jelai,Red,Merah
175,13.0,34.0,1.0,33.21,Barley,Jelai,Loamy,Lempung Berpasir
176,13.0,34.0,4.0,32.94,Barley,Jelai,Red,Merah
177,38.0,0.0,0.0,35.09,Barley,Jelai,Sandy,Berpasir
178,15.0,39.0,4.0,23.9,Barley,Jelai,Red,Merah
179,37.0,0.0,2.0,25.34,Barley,Jelai,Clayey,Lempung
180,34.0,0.0,0.0,30.72,Barley,Jelai,Sandy,Berpasir
181,12.0,23.0,9.0,28.26,Barley,Jelai,Clayey,Lempung
182,36.0,0.0,0.0,29.44,Barley,Jelai,Loamy,Lempung Berpasir
183,33.0,0.0,0.0,26.18,Barley,Jelai,Loamy,Lempung Berpasir
184,26.0,18.0,2.0,32.29,Barley,Jelai,Loamy,Lempung Berpasir
185,40.0,0.0,0.0,30.09,Barley,Jelai,Black,Hitam
186,5.0,14.0,4.0,30.62,Barley,Jelai,Black,Hitam
187,8.0,6.0,0.0,27.32,Barley,Jelai,Loamy,Lempung Berpasir
188,25.0,21.0,3.0,32.98,Barley,Jelai,Loamy,Lempung Berpasir
189,3.0,14.0,0.0,28.48,Barley,Jelai,Sandy,Berpasir
190,6.0,31.0,10.0,25.72,Barley,Jelai,Red,Merah
191,38.0,0.0,2.0,27.01,Barley,Jelai,Clayey,Lempung
192,26.0,17.0,0.0,32.41,Barley,Jelai,Red,Merah
193,36.0,0.0,4.0,28.55,Barley,Jelai,Clayey,Lempung
194,5.0,27.0,9.0,36.35,Barley,Jelai,Black,Hitam
195,3.0,26.0,6.0,35.94,Barley,Jelai,Red,Merah
196,35.0,0.0,3.0,34.98,Barley,Jelai,Loamy,Lempung Berpasir
197,7.0,14.0,14.0,38.09,Barley,Jelai,Loamy,Lempung Berpasir
198,40.0,0.0,0.0,38.02,Barley,Jelai,Black,Hitam
199,12.0,28.0,12.0,34.06,Barley,Jelai,Red,Merah
200,5.0,16.0,1.0,30.21,Barley,Jelai,Clayey,Lempung
201,8.0,11.0,1.0,29.63,Barley,Jelai,Sandy,Berpasir
202,34.0,3.0,0.0,28.91,Barley,Jelai,Black,Hitam
203,10.0,22.0,13.0,28.65,Barley,Jelai,Clayey,Lempung
204,1.0,13.0,13.0,31.58,Barley,Jelai,Sandy,Berpasir
205,8.0,42.0,0.0,25.49,Barley,Jelai,Red,Merah
206,5.0,13.0,16.0,25.2,Barley,Jelai,Black,Hitam
207,11.0,28.0,4.0,36.26,Barley,Jelai,Red,Merah
208,17.0,38.0,0.0,26.44,Barley,Jelai,Clayey,Lempung
209,22.0,26.0,1.0,35.08,Barley,Jelai,Loamy,Lempung Berpasir
210,19.0,13.0,14.0,22.87,Barley,Jelai,Loamy,Lempung Berpasir
211,15.0,14.0,14.0,37.86,Barley,Jelai,Loamy,Lempung Berpasir
212,37.0,0.0,2.0,23.09,Barley,Jelai,Red,Merah
213,14.0,37.0,0.0,32.72,Barley,Jelai,Red,Merah
214,13.0,35.0,0.0,36.87,Barley,Jelai,Sandy,Berpasir
215,13.0,32.0,8.0,31.29,Barley,Jelai,Sandy,Berpasir
216,9.0,38.0,0.0,32.69,Barley,Jelai,Clayey,Lempung
217,8.0,10.0,18.0,31.38,Barley,Jelai,Clayey,Lempung
218,19.0,16.0,0.0,34.32,Barley,Jelai,Loamy,Lempung Berpasir
219,16.0,15.0,2.0,22.28,Barley,Jelai,Red,Merah
220,15.0,43.0,0.0,36.47,Barley,Jelai,Black,Hitam
221,5.0,28.0,10.0,25.9,Barley,Jelai,Sandy,Berpasir
222,15.0,38.0,4.0,30.5,Barley,Jelai,Sandy,Berpasir
223,2.0,16.0,17.0,33.67,Barley,Jelai,Clayey,Lempung
224,16.0,38.0,0.0,29.68,Barley,Jelai,Red,Merah
225,27.0,19.0,1.0,33.27,Barley,Jelai,Sandy,Berpasir
226,22.0,16.0,4.0,36.05,Barley,Jelai,Black,Hitam
227,15.0,38.0,3.0,27.65,Barley,Jelai,Red,Merah
228,28.0,22.0,4.0,34.8,Barley,Jelai,Sandy,Berpasir
229,11.0,9.0,4.0,37.71,Barley,Jelai,Loamy,Lempung Berpasir
230,26.0,18.0,0.0,28.35,Barley,Jelai,Clayey,Lempung
231,23.0,17.0,0.0,26.77,Barley,Jelai,Red,Merah
232,25.0,25.0,2.0,23.9,Barley,Jelai,Black,Hitam
233,26.0,23.0,1.0,29.82,Barley,Jelai,Loamy,Lempung Berpasir
234,15.0,33.0,3.0,30.89,Barley,Jelai,Red,Merah
235,12.0,16.0,18.0,33.51,Barley,Jelai,Sandy,Berpasir
236,15.0,39.0,1.0,26.03,Barley,Jelai,Black,Hitam
237,5.0,18.0,14.0,27.4,Barley,Jelai,Sandy,Berpasir
238,7.0,19.0,16.0,29.65,Barley,Jelai,Red,Merah
239,38.0,0.0,1.0,29.19,Barley,Jelai,Red,Merah
240,6.0,34.0,0.0,24.1,Barley,Jelai,Sandy,Berpasir
241,19.0,25.0,0.0,23.28,Barley,Jelai,Black,Hitam
242,36.0,3.0,2.0,30.26,Barley,Jelai,Red,Merah
243,23.0,25.0,0.0,27.42,Barley,Jelai,Loamy,Lempung Berpasir
244,15.0,12.0,15.0,33.91,Barley,Jelai,Sandy,Berpasir
245,18.0,11.0,3.0,30.92,Barley,Jelai,Sandy,Berpasir
246,21.0,16.0,3.0,23.62,Barley,Jelai,Sandy,Berpasir
247,7.0,39.0,1.0,27.45,Barley,Jelai,Sandy,Berpasir
248,11.0,37.0,2.0,29.99,Barley,Jelai,Red,Merah
249,11.0,10.0,3.0,23.94,Barley,Jelai,Loamy,Lempung Berpasir
250,40.0,3.0,4.0,27.42,Barley,Jelai,Black,Hitam
251,3.0,33.0,7.0,31.75,Barley,Jelai,Red,Merah
252,16.0,38.0,0.0,29.95,Barley,Jelai,Red,Merah
253,16.0,33.0,0.0,32.31,Barley,Jelai,Clayey,Lempung
254,33.0,0.0,3.0,29.58,Barley,Jelai,Loamy,Lempung Berpasir
255,20.0,20.0,4.0,21.85,Barley,Jelai,Clayey,Lempung
256,18.0,14.0,0.0,28.85,Barley,Jelai,Loamy,Lempung Berpasir
257,21.0,28.0,3.0,32.79,Barley,Jelai,Black,Hitam
258,16.0,17.0,0.0,28.35,Barley,Jelai,Red,Merah
259,40.0,0.0,1.0,31.17,Barley,Jelai,Sandy,Berpasir
260,11.0,11.0,14.0,30.31,Barley,Jelai,Loamy,Lempung Berpasir
261,10.0,15.0,20.0,23.87,Barley,Jelai,Red,Merah
262,19.0,43.0,0.0,35.22,Barley,Jelai,Sandy,Berpasir
263,33.0,0.0,0.0,32.91,Barley,Jelai,Black,Hitam
264,22.0,24.0,0.0,28.9,Barley,Jelai,Clayey,Lempung
265,40.0,1.0,0.0,35.66,Barley,Jelai,Loamy,Lempung Berpasir
266,38.0,0.0,0.0,24.12,Barley,Jelai,Red,Merah
267,10.0,32.0,6.0,24.11,Barley,Jelai,Loamy,Lempung Berpasir
268,10.0,11.0,0.0,23.04,Barley,Jelai,Red,Merah
269,38.0,0.0,0.0,31.62,Barley,Jelai,Clayey,Lempung
270,8.0,30.0,7.0,28.94,Barley,Jelai,Black,Hitam
271,7.0,17.0,0.0,30.45,Barley,Jelai,Sandy,Berpasir
272,13.0,13.0,13.0,38.32,Barley,Jelai,Clayey,Lempung
273,11.0,28.0,10.0,26.62,Barley,Jelai,Sandy,Berpasir
274,13.0,36.0,0.0,34.76,Barley,Jelai,Black,Hitam
275,9.0,26.0,12.0,33.24,Barley,Jelai,Sandy,Berpasir
276,11.0,31.0,13.0,24.26,Barley,Jelai,Sandy,Berpasir
277,37.0,0.0,1.0,25.17,Barley,Jelai,Black,Hitam
278,34.0,2.0,0.0,31.51,Barley,Jelai,Sandy,Berpasir
279,41.0,0.0,3.0,38.72,Barley,Jelai,Loamy,Lempung Berpasir
280,14.0,17.0,13.0,24.56,Barley,Jelai,Red,Merah
281,25.0,21.0,3.0,28.01,Barley,Jelai,Clayey,Lempung
282,41.0,0.0,0.0,33.85,Barley,Jelai,Sandy,Berpasir
283,13.0,39.0,3.0,40.0,Barley,Jelai,Clayey,Lempung
284,17.0,41.0,0.0,31.32,Barley,Jelai,Loamy,Lempung Berpasir
285,37.0,1.0,0.0,34.21,Barley,Jelai,Sandy,Berpasir
286,10.0,41.0,0.0,33.6,Barley,Jelai,Black,Hitam
287,19.0,18.0,3.0,36.3,Barley,Jelai,Red,Merah
288,9.0,8.0,4.0,25.98,Barley,Jelai,Loamy,Lempung Berpasir
289,16.0,7.0,3.0,25.68,Barley,Jelai,Sandy,Berpasir
290,17.0,15.0,2.0,38.07,Barley,Jelai,Loamy,Lempung Berpasir
291,17.0,36.0,0.0,22.6,Barley,Jelai,Clayey,Lempung
292,20.0,22.0,0.0,38.62,Barley,Jelai,Sandy,Berpasir
293,22.0,20.0,3.0,21.59,Barley,Jelai,Clayey,Lempung
294,42.0,0.0,0.0,30.51,Barley,Jelai,Red,Merah
295,8.0,43.0,0.0,32.32,Barley,Jelai,Sandy,Berpasir
296,35.0,0.0,2.0,36.1,Barley,Jelai,Clayey,Lempung
297,39.0,0.0,0.0,35.94,Barley,Jelai,Loamy,Lempung Berpasir
298,39.0,1.0,3.0,32.16,Barley,Jelai,Clayey,Lempung
299,10.0,19.0,21.0,24.99,Barley,Jelai,Red,Merah
300,10.0,14.0,9.0,20.52,Barley,Jelai,Black,Hitam
301,12.0,40.0,4.0,40.0,Barley,Jelai,Clayey,Lempung
302,18.0,33.0,0.0,31.98,Barley,Jelai,Clayey,Lempung
303,36.0,4.0,4.0,34.85,Barley,Jelai,Loamy,Lempung Berpasir
304,20.0,26.0,0.0,28.16,Barley,Jelai,Black,Hitam
305,19.0,37.0,1.0,33.19,Barley,Jelai,Black,Hitam
306,20.0,16.0,0.0,30.68,Barley,Jelai,Clayey,Lempung
307,14.0,11.0,0.0,35.2,Barley,Jelai,Sandy,Berpasir
308,25.0,18.0,0.0,30.03,Barley,Jelai,Sandy,Berpasir
309,14.0,36.0,0.0,30.44,Barley,Jelai,Clayey,Lempung
310,38.0,0.0,0.0,31.78,Barley,Jelai,Clayey,Lempung
311,3.0,17.0,19.0,33.64,Barley,Jelai,Red,Merah
312,24.0,22.0,0.0,26.86,Barley,Jelai,Sandy,Berpasir
313,15.0,14.0,13.0,34.84,Barley,Jelai,Black,Hitam
314,6.0,28.0,11.0,35.16,Barley,Jelai,Clayey,Lempung
315,17.0,19.0,0.0,25.09,Barley,Jelai,Loamy,Lempung Berpasir
316,26.0,24.0,0.0,29.06,Barley,Jelai,Sandy,Berpasir
317,10.0,36.0,1.0,31.75,Barley,Jelai,Loamy,Lempung Berpasir
318,39.0,0.0,1.0,33.61,Barley,Jelai,Loamy,Lempung Berpasir
319,7.0,36.0,4.0,27.05,Barley,Jelai,Black,Hitam
320,7.0,28.0,9.0,26.23,Barley,Jelai,Sandy,Berpasir
321,8.0,33.0,0.0,34.54,Barley,Jelai,Black,Hitam
322,9.0,19.0,8.0,34.81,Barley,Jelai,Sandy,Berpasir
323,16.0,9.0,8.0,22.16,Barley,Jelai,Red,Merah
324,17.0,32.0,0.0,33.42,Barley,Jelai,Clayey,Lempung
325,41.0,1.0,0.0,38.71,Barley,Jelai,Sandy,Berpasir
326,14.0,37.0,3.0,34.48,Barley,Jelai,Red,Merah
327,22.0,18.0,1.0,33.94,Barley,Jelai,Loamy,Lempung Berpasir
328,5.0,32.0,11.0,31.66,Barley,Jelai,Black,Hitam
329,13.0,43.0,0.0,28.66,Barley,Jelai,Clayey,Lempung
330,36.0,0.0,0.0,27.12,Barley,Jelai,Red,Merah
331,34.0,0.0,3.0,37.12,Barley,Jelai,Red,Merah
332,38.0,4.0,1.0,29.41,Barley,Jelai,Sandy,Berpasir
333,24.0,23.0,0.0,31.46,Barley,Jelai,Loamy,Lempung Berpasir
334,15.0,34.0,0.0,36.47,Barley,Jelai,Black,Hitam
335,11.0,31.0,0.0,32.27,Barley,Jelai,Red,Merah
336,14.0,36.0,0.0,33.24,Barley,Jelai,Black,Hitam
337,9.0,16.0,20.0,20.0,Barley,Jelai,Loamy,Lempung Berpasir
338,35.0,3.0,4.0,26.11,Barley,Jelai,Black,Hitam
339,9.0,25.0,2.0,31.87,Barley,Jelai,Black,Hitam
340,19.0,19.0,1.0,32.19,Barley,Jelai,Clayey,Lempung
341,10.0,37.0,1.0,29.49,Barley,Jelai,Clayey,Lempung
342,10.0,10.0,2.0,32.34,Barley,Jelai,Red,Merah
343,12.0,8.0,10.0,30.69,Barley,Jelai,Sandy,Berpasir
344,9.0,32.0,0.0,31.83,Barley,Jelai,Clayey,Lempung
345,13.0,16.0,17.0,24.87,Barley,Jelai,Black,Hitam
346,38.0,1.0,0.0,24.23,Barley,Jelai,Loamy,Lempung Berpasir
347,15.0,34.0,4.0,29.24,Barley,Jelai,Black,Hitam
348,42.0,2.0,2.0,31.27,Barley,Jelai,Red,Merah
349,6.0,28.0,11.0,29.75,Barley,Jelai,Loamy,Lempung Berpasir
350,20.0,24.0,4.0,22.73,Barley,Jelai,Red,Merah
351,11.0,32.0,8.0,35.43,Barley,Jelai,Clayey,Lempung
352,13.0,37.0,3.0,38.55,Barley,Jelai,Red,Merah
353,44.0,0.0,0.0,35.65,Barley,Jelai,Loamy,Lempung Berpasir
354,17.0,16.0,13.0,35.85,Barley,Jelai,Loamy,Lempung Berpasir
355,17.0,22.0,4.0,34.15,Barley,Jelai,Clayey,Lempung
356,31.0,0.0,0.0,26.7,Barley,Jelai,Black,Hitam
357,14.0,42.0,2.0,32.35,Barley,Jelai,Red,Merah
358,41.0,3.0,1.0,36.03,Barley,Jelai,Sandy,Berpasir
359,34.0,0.0,2.0,21.2,Barley,Jelai,Sandy,Berpasir
360,6.0,13.0,10.0,35.59,Barley,Jelai,Black,Hitam
361,18.0,40.0,1.0,29.75,Barley,Jelai,Clayey,Lempung
362,10.0,24.0,14.0,29.21,Barley,Jelai,Red,Merah
363,12.0,12.0,0.0,24.6,Barley,Jelai,Black,Hitam
364,1.0,14.0,18.0,32.18,Barley,Jelai,Sandy,Berpasir
365,13.0,16.0,0.0,27.86,Barley,Jelai,Black,Hitam
366,35.0,3.0,0.0,31.27,Barley,Jelai,Loamy,Lempung Berpasir
367,6.0,16.0,20.0,25.82,Barley,Jelai,Red,Merah
368,7.0,32.0,9.0,30.69,Barley,Jelai,Loamy,Lempung Berpasir
369,17.0,28.0,2.0,31.35,Barley,Jelai,Clayey,Lempung
370,35.0,1.0,1.0,28.42,Barley,Jelai,Sandy,Berpasir
371,17.0,8.0,0.0,31.81,Barley,Jelai,Sandy,Berpasir
372,4.0,28.0,5.0,33.93,Barley,Jelai,Red,Merah
