Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Moisture,pH_Value,Rainfall,Crop,Soil_Type,Variety,Fertilizer
35.00,0.00,2.00,27.68,46.99,22.43,N/A,N/A,Barley,Black,N/A,17-17-17
19.00,41.00,2.00,31.18,55.41,33.33,N/A,N/A,Barley,Black,N/A,17-17-17
8.00,13.00,20.00,26.88,60.42,29.07,N/A,N/A,Barley,Black,N/A,20-20
24.00,20.00,0.00,22.15,54.75,39.90,N/A,N/A,Barley,Clayey,N/A,28-28
36.00,3.00,4.00,37.83,58.79,52.48,N/A,N/A,Barley,Red,N/A,Urea
25.00,28.00,0.00,34.41,62.43,33.30,N/A,N/A,Barley,Loamy,N/A,28-28
11.00,12.00,1.00,23.84,40.88,64.60,N/A,N/A,Barley,Black,N/A,Urea
18.00,20.00,4.00,36.02,74.78,38.64,N/A,N/A,Barley,Loamy,N/A,14-35-14
13.00,40.00,0.00,30.90,58.59,38.32,N/A,N/A,Barley,Black,N/A,20-20
8.00,6.00,0.00,32.73,67.10,34.06,N/A,N/A,Barley,Loamy,N/A,28-28
13.00,11.00,1.00,26.88,59.50,33.00,N/A,N/A,Barley,Black,N/A,14-35-14
4.00,24.00,13.00,25.07,48.14,38.76,N/A,N/A,Barley,Clayey,N/A,Urea
35.00,0.00,3.00,32.20,72.21,60.57,N/A,N/A,Barley,Loamy,N/A,10-26-26
16.00,45.00,0.00,22.59,56.96,27.15,N/A,N/A,Barley,Red,N/A,10-26-26
12.00,15.00,0.00,26.66,68.27,47.59,N/A,N/A,Barley,Sandy,N/A,10-26-26
6.00,13.00,0.00,30.02,65.59,54.31,N/A,N/A,Barley,Loamy,N/A,14-35-14
14.00,36.00,0.00,31.80,60.45,29.67,N/A,N/A,Barley,Black,N/A,17-17-17
17.00,23.00,0.00,33.10,57.50,42.07,N/A,N/A,Barley,Clayey,N/A,20-20
7.00,25.00,12.00,32.22,54.23,47.91,N/A,N/A,Barley,Black,N/A,17-17-17
14.00,42.00,0.00,25.60,54.32,31.26,N/A,N/A,Barley,Loamy,N/A,Urea
21.00,16.00,2.00,25.51,66.21,44.24,N/A,N/A,Barley,Black,N/A,17-17-17
4.00,20.00,14.00,24.30,54.99,32.02,N/A,N/A,Barley,Clayey,N/A,17-17-17
30.00,0.00,0.00,27.41,49.33,22.31,N/A,N/A,Barley,Loamy,N/A,28-28
8.00,14.00,0.00,26.52,49.70,59.42,N/A,N/A,Barley,Loamy,N/A,Urea
26.00,22.00,1.00,36.61,57.83,47.58,N/A,N/A,Barley,Sandy,N/A,Urea
10.00,14.00,13.00,33.28,70.59,39.69,N/A,N/A,Barley,Black,N/A,Urea
2.00,13.00,23.00,28.82,53.07,33.55,N/A,N/A,Barley,Clayey,N/A,20-20
17.00,43.00,2.00,24.12,52.17,38.96,N/A,N/A,Barley,Loamy,N/A,20-20
5.00,26.00,5.00,24.32,64.62,26.90,N/A,N/A,Barley,Sandy,N/A,14-35-14
3.00,16.00,18.00,26.56,61.21,46.73,N/A,N/A,Barley,Loamy,N/A,DAP
7.00,31.00,0.00,38.03,72.22,45.56,N/A,N/A,Barley,Red,N/A,10-26-26
11.00,30.00,12.00,27.72,44.26,20.00,N/A,N/A,Barley,Loamy,N/A,Urea
43.00,0.00,4.00,32.64,48.78,46.52,N/A,N/A,Barley,Clayey,N/A,10-26-26
3.00,18.00,22.00,32.63,64.09,48.36,N/A,N/A,Barley,Loamy,N/A,DAP
8.00,11.00,1.00,26.82,51.30,34.82,N/A,N/A,Barley,Red,N/A,17-17-17
14.00,37.00,0.00,27.51,55.86,41.39,N/A,N/A,Barley,Black,N/A,10-26-26
0.00,30.00,8.00,29.43,62.46,43.26,N/A,N/A,Barley,Black,N/A,28-28
34.00,3.00,0.00,28.56,69.25,43.73,N/A,N/A,Barley,Red,N/A,20-20
10.00,37.00,0.00,27.78,57.10,42.64,N/A,N/A,Barley,Black,N/A,28-28
15.00,20.00,16.00,32.90,63.12,47.43,N/A,N/A,Barley,Black,N/A,14-35-14
14.00,13.00,15.00,29.61,70.12,42.17,N/A,N/A,Barley,Red,N/A,14-35-14
8.00,20.00,17.00,32.12,68.28,42.26,N/A,N/A,Barley,Red,N/A,14-35-14
23.00,20.00,1.00,29.17,64.55,46.56,N/A,N/A,Barley,Sandy,N/A,10-26-26
27.00,28.00,1.00,30.25,60.34,33.50,N/A,N/A,Barley,Sandy,N/A,20-20
8.00,16.00,14.00,26.29,62.82,38.28,N/A,N/A,Barley,Red,N/A,20-20
10.00,38.00,0.00,25.70,57.86,20.00,N/A,N/A,Barley,Loamy,N/A,DAP
23.00,25.00,0.00,29.55,60.62,45.99,N/A,N/A,Barley,Sandy,N/A,28-28
10.00,22.00,11.00,26.33,58.16,43.91,N/A,N/A,Barley,Red,N/A,Urea
11.00,16.00,16.00,20.55,42.03,63.54,N/A,N/A,Barley,Black,N/A,14-35-14
9.00,11.00,0.00,29.80,59.73,35.64,N/A,N/A,Barley,Red,N/A,Urea
33.00,0.00,0.00,30.83,57.02,57.45,N/A,N/A,Barley,Loamy,N/A,10-26-26
40.00,2.00,1.00,25.86,45.62,35.68,N/A,N/A,Barley,Red,N/A,DAP
14.00,11.00,12.00,34.51,68.73,69.90,N/A,N/A,Barley,Loamy,N/A,14-35-14
42.00,0.00,0.00,28.81,54.94,41.60,N/A,N/A,Barley,Black,N/A,Urea
5.00,9.00,0.00,29.84,65.34,35.10,N/A,N/A,Barley,Sandy,N/A,14-35-14
13.00,32.00,9.00,23.54,47.71,27.92,N/A,N/A,Barley,Red,N/A,Urea
3.00,33.00,6.00,25.36,62.76,62.32,N/A,N/A,Barley,Clayey,N/A,14-35-14
15.00,36.00,3.00,32.04,64.28,62.11,N/A,N/A,Barley,Black,N/A,14-35-14
18.00,36.00,1.00,28.09,50.46,25.38,N/A,N/A,Barley,Sandy,N/A,Urea
14.00,43.00,3.00,28.96,54.32,35.97,N/A,N/A,Barley,Sandy,N/A,10-26-26
27.00,20.00,0.00,26.17,53.24,51.31,N/A,N/A,Barley,Black,N/A,DAP
42.00,0.00,0.00,36.70,62.62,24.01,N/A,N/A,Barley,Red,N/A,17-17-17
12.00,34.00,0.00,36.87,74.71,25.27,N/A,N/A,Barley,Sandy,N/A,17-17-17
12.00,14.00,0.00,30.79,62.82,29.74,N/A,N/A,Barley,Black,N/A,14-35-14
13.00,36.00,1.00,34.83,74.84,38.55,N/A,N/A,Barley,Clayey,N/A,14-35-14
19.00,44.00,0.00,40.00,72.53,69.09,N/A,N/A,Barley,Loamy,N/A,10-26-26
40.00,0.00,0.00,30.03,59.76,24.55,N/A,N/A,Barley,Sandy,N/A,Urea
22.00,20.00,0.00,36.31,72.79,46.60,N/A,N/A,Barley,Sandy,N/A,DAP
40.00,0.00,4.00,38.64,77.51,43.00,N/A,N/A,Barley,Sandy,N/A,DAP
11.00,25.00,8.00,27.26,62.16,33.59,N/A,N/A,Barley,Black,N/A,28-28
2.00,32.00,8.00,32.29,62.66,37.32,N/A,N/A,Barley,Clayey,N/A,Urea
35.00,0.00,1.00,37.60,61.35,36.62,N/A,N/A,Barley,Red,N/A,14-35-14
17.00,22.00,0.00,31.70,60.31,42.96,N/A,N/A,Barley,Loamy,N/A,20-20
6.00,31.00,7.00,33.54,64.83,36.55,N/A,N/A,Barley,Clayey,N/A,10-26-26
36.00,1.00,0.00,35.75,63.57,38.89,N/A,N/A,Barley,Loamy,N/A,28-28
10.00,41.00,0.00,32.94,72.52,37.15,N/A,N/A,Barley,Sandy,N/A,17-17-17
15.00,38.00,0.00,33.02,49.45,31.28,N/A,N/A,Barley,Black,N/A,10-26-26
38.00,0.00,0.00,22.61,51.15,40.50,N/A,N/A,Barley,Sandy,N/A,Urea
36.00,0.00,0.00,25.38,57.54,70.00,N/A,N/A,Barley,Black,N/A,Urea
7.00,11.00,0.00,28.35,55.27,47.18,N/A,N/A,Barley,Loamy,N/A,20-20
10.00,32.00,7.00,26.38,57.12,57.30,N/A,N/A,Barley,Sandy,N/A,20-20
10.00,13.00,3.00,33.41,53.69,63.42,N/A,N/A,Barley,Red,N/A,14-35-14
10.00,41.00,0.00,24.45,57.16,37.80,N/A,N/A,Barley,Black,N/A,14-35-14
15.00,36.00,0.00,24.59,47.16,21.81,N/A,N/A,Barley,Clayey,N/A,14-35-14
26.00,15.00,0.00,31.33,67.83,68.19,N/A,N/A,Barley,Sandy,N/A,17-17-17
16.00,42.00,1.00,38.04,73.24,69.06,N/A,N/A,Barley,Loamy,N/A,20-20
6.00,18.00,19.00,30.39,54.66,40.53,N/A,N/A,Barley,Black,N/A,DAP
12.00,39.00,0.00,24.04,54.47,46.62,N/A,N/A,Barley,Black,N/A,14-35-14
21.00,16.00,1.00,23.60,54.64,32.83,N/A,N/A,Barley,Sandy,N/A,14-35-14
7.00,34.00,8.00,28.75,60.69,32.81,N/A,N/A,Barley,Black,N/A,28-28
13.00,18.00,19.00,33.94,62.53,22.09,N/A,N/A,Barley,Black,N/A,DAP
25.00,23.00,2.00,33.14,60.57,35.83,N/A,N/A,Barley,Red,N/A,17-17-17
18.00,40.00,0.00,39.87,60.83,56.01,N/A,N/A,Barley,Clayey,N/A,DAP
14.00,15.00,9.00,22.54,44.49,64.67,N/A,N/A,Barley,Clayey,N/A,17-17-17
14.00,34.00,2.00,25.85,59.28,48.78,N/A,N/A,Barley,Red,N/A,14-35-14
8.00,11.00,0.00,32.11,71.86,56.34,N/A,N/A,Barley,Clayey,N/A,20-20
13.00,10.00,0.00,24.24,45.30,68.56,N/A,N/A,Barley,Clayey,N/A,20-20
10.00,39.00,2.00,31.46,60.92,35.26,N/A,N/A,Barley,Black,N/A,20-20
9.00,19.00,17.00,33.28,76.03,40.66,N/A,N/A,Barley,Clayey,N/A,28-28
12.00,27.00,4.00,39.75,66.91,26.89,N/A,N/A,Barley,Black,N/A,10-26-26
26.00,16.00,0.00,30.44,68.60,66.26,N/A,N/A,Barley,Clayey,N/A,14-35-14
12.00,40.00,0.00,24.26,66.80,29.59,N/A,N/A,Barley,Loamy,N/A,17-17-17
28.00,19.00,0.00,30.12,52.36,33.80,N/A,N/A,Barley,Sandy,N/A,28-28
13.00,38.00,4.00,25.78,64.69,32.38,N/A,N/A,Barley,Loamy,N/A,28-28
11.00,12.00,4.00,24.68,49.97,70.00,N/A,N/A,Barley,Loamy,N/A,DAP
12.00,13.00,0.00,29.04,70.01,36.90,N/A,N/A,Barley,Black,N/A,DAP
18.00,36.00,4.00,40.00,53.38,44.17,N/A,N/A,Barley,Black,N/A,20-20
6.00,37.00,3.00,27.62,67.62,64.74,N/A,N/A,Barley,Red,N/A,10-26-26
12.00,36.00,0.00,29.25,62.00,55.15,N/A,N/A,Barley,Clayey,N/A,10-26-26
33.00,0.00,0.00,32.80,65.87,49.94,N/A,N/A,Barley,Clayey,N/A,14-35-14
19.00,28.00,3.00,22.97,44.59,43.69,N/A,N/A,Barley,Clayey,N/A,28-28
35.00,0.00,0.00,32.11,71.08,29.01,N/A,N/A,Barley,Sandy,N/A,10-26-26
39.00,3.00,0.00,36.82,57.69,30.19,N/A,N/A,Barley,Red,N/A,28-28
38.00,0.00,0.00,29.14,59.77,42.79,N/A,N/A,Barley,Clayey,N/A,10-26-26
11.00,14.00,16.00,28.87,57.65,56.90,N/A,N/A,Barley,Black,N/A,28-28
10.00,24.00,11.00,40.00,67.75,57.85,N/A,N/A,Barley,Loamy,N/A,DAP
30.00,0.00,1.00,23.64,54.21,33.68,N/A,N/A,Barley,Clayey,N/A,Urea
22.00,22.00,0.00,36.03,68.01,34.95,N/A,N/A,Barley,Red,N/A,20-20
13.00,34.00,1.00,33.21,79.62,35.61,N/A,N/A,Barley,Loamy,N/A,Urea
13.00,34.00,4.00,32.94,58.58,52.48,N/A,N/A,Barley,Red,N/A,10-26-26
38.00,0.00,0.00,35.09,72.50,46.73,N/A,N/A,Barley,Sandy,N/A,DAP
15.00,39.00,4.00,23.90,44.45,32.53,N/A,N/A,Barley,Red,N/A,10-26-26
37.00,0.00,2.00,25.34,51.56,38.67,N/A,N/A,Barley,Clayey,N/A,10-26-26
34.00,0.00,0.00,30.72,62.41,35.53,N/A,N/A,Barley,Sandy,N/A,14-35-14
12.00,23.00,9.00,28.26,50.41,34.56,N/A,N/A,Barley,Clayey,N/A,17-17-17
36.00,0.00,0.00,29.44,50.92,34.24,N/A,N/A,Barley,Loamy,N/A,20-20
33.00,0.00,0.00,26.18,47.19,39.82,N/A,N/A,Barley,Loamy,N/A,DAP
26.00,18.00,2.00,32.29,56.56,63.14,N/A,N/A,Barley,Loamy,N/A,10-26-26
40.00,0.00,0.00,30.09,52.45,34.93,N/A,N/A,Barley,Black,N/A,20-20
5.00,14.00,4.00,30.62,46.34,61.19,N/A,N/A,Barley,Black,N/A,28-28
8.00,6.00,0.00,27.32,69.77,41.00,N/A,N/A,Barley,Loamy,N/A,10-26-26
25.00,21.00,3.00,32.98,67.67,45.92,N/A,N/A,Barley,Loamy,N/A,14-35-14
3.00,14.00,0.00,28.48,49.43,44.67,N/A,N/A,Barley,Sandy,N/A,17-17-17
6.00,31.00,10.00,25.72,53.66,21.91,N/A,N/A,Barley,Red,N/A,28-28
38.00,0.00,2.00,27.01,57.18,41.37,N/A,N/A,Barley,Clayey,N/A,28-28
26.00,17.00,0.00,32.41,66.99,33.52,N/A,N/A,Barley,Red,N/A,20-20
36.00,0.00,4.00,28.55,43.74,27.10,N/A,N/A,Barley,Clayey,N/A,20-20
5.00,27.00,9.00,36.35,64.04,65.28,N/A,N/A,Barley,Black,N/A,Urea
3.00,26.00,6.00,35.94,62.93,28.98,N/A,N/A,Barley,Red,N/A,DAP
35.00,0.00,3.00,34.98,76.76,43.81,N/A,N/A,Barley,Loamy,N/A,DAP
7.00,14.00,14.00,38.09,65.45,47.28,N/A,N/A,Barley,Loamy,N/A,17-17-17
40.00,0.00,0.00,38.02,73.39,34.53,N/A,N/A,Barley,Black,N/A,17-17-17
12.00,28.00,12.00,34.06,71.70,43.15,N/A,N/A,Barley,Red,N/A,28-28
5.00,16.00,1.00,30.21,50.79,37.79,N/A,N/A,Barley,Clayey,N/A,Urea
8.00,11.00,1.00,29.63,58.39,64.42,N/A,N/A,Barley,Sandy,N/A,28-28
34.00,3.00,0.00,28.91,60.07,39.93,N/A,N/A,Barley,Black,N/A,20-20
10.00,22.00,13.00,28.65,59.24,40.45,N/A,N/A,Barley,Clayey,N/A,28-28
1.00,13.00,13.00,31.58,60.79,41.51,N/A,N/A,Barley,Sandy,N/A,14-35-14
8.00,42.00,0.00,25.49,59.63,68.90,N/A,N/A,Barley,Red,N/A,28-28
5.00,13.00,16.00,25.20,54.36,56.57,N/A,N/A,Barley,Black,N/A,14-35-14
11.00,28.00,4.00,36.26,72.92,70.00,N/A,N/A,Barley,Red,N/A,17-17-17
17.00,38.00,0.00,26.44,66.93,58.88,N/A,N/A,Barley,Clayey,N/A,10-26-26
22.00,26.00,1.00,35.08,60.37,45.69,N/A,N/A,Barley,Loamy,N/A,17-17-17
19.00,13.00,14.00,22.87,44.91,24.78,N/A,N/A,Barley,Loamy,N/A,28-28
15.00,14.00,14.00,37.86,61.26,47.91,N/A,N/A,Barley,Loamy,N/A,Urea
37.00,0.00,2.00,23.09,47.76,36.04,N/A,N/A,Barley,Red,N/A,20-20
14.00,37.00,0.00,32.72,68.34,67.20,N/A,N/A,Barley,Red,N/A,DAP
13.00,35.00,0.00,36.87,73.12,54.53,N/A,N/A,Barley,Sandy,N/A,Urea
13.00,32.00,8.00,31.29,48.40,35.57,N/A,N/A,Barley,Sandy,N/A,10-26-26
9.00,38.00,0.00,32.69,67.20,30.23,N/A,N/A,Barley,Clayey,N/A,14-35-14
8.00,10.00,18.00,31.38,57.81,50.23,N/A,N/A,Barley,Clayey,N/A,20-20
19.00,16.00,0.00,34.32,60.90,35.02,N/A,N/A,Barley,Loamy,N/A,Urea
16.00,15.00,2.00,22.28,49.48,37.92,N/A,N/A,Barley,Red,N/A,20-20
15.00,43.00,0.00,36.47,70.93,66.79,N/A,N/A,Barley,Black,N/A,10-26-26
5.00,28.00,10.00,25.90,51.18,36.61,N/A,N/A,Barley,Sandy,N/A,14-35-14
15.00,38.00,4.00,30.50,57.68,54.46,N/A,N/A,Barley,Sandy,N/A,DAP
2.00,16.00,17.00,33.67,66.03,37.65,N/A,N/A,Barley,Clayey,N/A,10-26-26
16.00,38.00,0.00,29.68,51.55,20.35,N/A,N/A,Barley,Red,N/A,10-26-26
27.00,19.00,1.00,33.27,51.22,37.76,N/A,N/A,Barley,Sandy,N/A,17-17-17
22.00,16.00,4.00,36.05,70.84,30.08,N/A,N/A,Barley,Black,N/A,14-35-14
15.00,38.00,3.00,27.65,50.22,42.85,N/A,N/A,Barley,Red,N/A,14-35-14
28.00,22.00,4.00,34.80,59.89,59.40,N/A,N/A,Barley,Sandy,N/A,10-26-26
11.00,9.00,4.00,37.71,69.38,61.70,N/A,N/A,Barley,Loamy,N/A,Urea
26.00,18.00,0.00,28.35,60.55,52.54,N/A,N/A,Barley,Clayey,N/A,DAP
23.00,17.00,0.00,26.77,47.30,36.53,N/A,N/A,Barley,Red,N/A,Urea
25.00,25.00,2.00,23.90,58.01,40.51,N/A,N/A,Barley,Black,N/A,20-20
26.00,23.00,1.00,29.82,55.72,58.33,N/A,N/A,Barley,Loamy,N/A,28-28
15.00,33.00,3.00,30.89,62.85,24.23,N/A,N/A,Barley,Red,N/A,10-26-26
12.00,16.00,18.00,33.51,59.04,44.65,N/A,N/A,Barley,Sandy,N/A,DAP
15.00,39.00,1.00,26.03,60.45,46.40,N/A,N/A,Barley,Black,N/A,Urea
5.00,18.00,14.00,27.40,56.16,45.88,N/A,N/A,Barley,Sandy,N/A,17-17-17
7.00,19.00,16.00,29.65,59.65,26.35,N/A,N/A,Barley,Red,N/A,20-20
38.00,0.00,1.00,29.19,65.80,33.20,N/A,N/A,Barley,Red,N/A,17-17-17
6.00,34.00,0.00,24.10,52.08,65.93,N/A,N/A,Barley,Sandy,N/A,28-28
19.00,25.00,0.00,23.28,54.92,45.00,N/A,N/A,Barley,Black,N/A,Urea
36.00,3.00,2.00,30.26,47.16,68.58,N/A,N/A,Barley,Red,N/A,DAP
23.00,25.00,0.00,27.42,63.50,45.70,N/A,N/A,Barley,Loamy,N/A,Urea
15.00,12.00,15.00,33.91,72.18,53.83,N/A,N/A,Barley,Sandy,N/A,DAP
18.00,11.00,3.00,30.92,42.88,26.76,N/A,N/A,Barley,Sandy,N/A,28-28
21.00,16.00,3.00,23.62,48.41,28.57,N/A,N/A,Barley,Sandy,N/A,10-26-26
7.00,39.00,1.00,27.45,53.07,54.24,N/A,N/A,Barley,Sandy,N/A,28-28
11.00,37.00,2.00,29.99,48.04,23.13,N/A,N/A,Barley,Red,N/A,28-28
11.00,10.00,3.00,23.94,56.65,31.99,N/A,N/A,Barley,Loamy,N/A,28-28
40.00,3.00,4.00,27.42,45.99,47.82,N/A,N/A,Barley,Black,N/A,DAP
3.00,33.00,7.00,31.75,60.66,70.00,N/A,N/A,Barley,Red,N/A,14-35-14
16.00,38.00,0.00,29.95,49.83,44.85,N/A,N/A,Barley,Red,N/A,Urea
16.00,33.00,0.00,32.31,67.96,62.73,N/A,N/A,Barley,Clayey,N/A,10-26-26
33.00,0.00,3.00,29.58,59.37,36.30,N/A,N/A,Barley,Loamy,N/A,10-26-26
20.00,20.00,4.00,21.85,49.88,44.21,N/A,N/A,Barley,Clayey,N/A,10-26-26
18.00,14.00,0.00,28.85,58.66,43.76,N/A,N/A,Barley,Loamy,N/A,28-28
21.00,28.00,3.00,32.79,70.93,38.13,N/A,N/A,Barley,Black,N/A,DAP
16.00,17.00,0.00,28.35,41.51,29.49,N/A,N/A,Barley,Red,N/A,DAP
40.00,0.00,1.00,31.17,48.39,33.21,N/A,N/A,Barley,Sandy,N/A,14-35-14
11.00,11.00,14.00,30.31,54.48,25.49,N/A,N/A,Barley,Loamy,N/A,28-28
10.00,15.00,20.00,23.87,47.11,30.61,N/A,N/A,Barley,Red,N/A,17-17-17
19.00,43.00,0.00,35.22,60.12,46.49,N/A,N/A,Barley,Sandy,N/A,28-28
33.00,0.00,0.00,32.91,71.31,38.32,N/A,N/A,Barley,Black,N/A,14-35-14
22.00,24.00,0.00,28.90,48.22,39.67,N/A,N/A,Barley,Clayey,N/A,17-17-17
40.00,1.00,0.00,35.66,61.27,31.86,N/A,N/A,Barley,Loamy,N/A,10-26-26
38.00,0.00,0.00,24.12,45.11,46.29,N/A,N/A,Barley,Red,N/A,20-20
10.00,32.00,6.00,24.11,60.41,41.46,N/A,N/A,Barley,Loamy,N/A,Urea
10.00,11.00,0.00,23.04,47.21,40.69,N/A,N/A,Barley,Red,N/A,Urea
38.00,0.00,0.00,31.62,57.89,39.02,N/A,N/A,Barley,Clayey,N/A,20-20
8.00,30.00,7.00,28.94,57.14,30.57,N/A,N/A,Barley,Black,N/A,Urea
7.00,17.00,0.00,30.45,58.60,50.65,N/A,N/A,Barley,Sandy,N/A,14-35-14
13.00,13.00,13.00,38.32,66.46,54.06,N/A,N/A,Barley,Clayey,N/A,17-17-17
11.00,28.00,10.00,26.62,60.59,21.88,N/A,N/A,Barley,Sandy,N/A,10-26-26
13.00,36.00,0.00,34.76,73.32,59.45,N/A,N/A,Barley,Black,N/A,10-26-26
9.00,26.00,12.00,33.24,58.10,55.98,N/A,N/A,Barley,Sandy,N/A,Urea
11.00,31.00,13.00,24.26,49.84,30.21,N/A,N/A,Barley,Sandy,N/A,20-20
37.00,0.00,1.00,25.17,46.44,37.04,N/A,N/A,Barley,Black,N/A,10-26-26
34.00,2.00,0.00,31.51,64.47,59.18,N/A,N/A,Barley,Sandy,N/A,17-17-17
41.00,0.00,3.00,38.72,73.50,49.78,N/A,N/A,Barley,Loamy,N/A,10-26-26
14.00,17.00,13.00,24.56,57.15,43.97,N/A,N/A,Barley,Red,N/A,20-20
25.00,21.00,3.00,28.01,69.78,32.44,N/A,N/A,Barley,Clayey,N/A,20-20
